station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station105;Temperature;2019;1;3;5;-137.495
station82;Temperature;2019;1;3;6;15.3333333333333
station254;Temperature;2019;1;3;6;15.3386666666667
station319;Temperature;2019;1;3;6;16.8983332166667
station271;Temperature;2019;1;3;6;18.1546671
station349;Temperature;2019;1;3;6;-999
station83;Temperature;2019;1;3;6;14.6316666666667
station68;Temperature;2019;1;3;6;17.7466666666667
station197;Temperature;2019;1;3;6;15.3378333333333
station59;Temperature;2019;1;3;6;16.1166666666667
station313;Temperature;2019;1;3;6;13.2765
station252;Temperature;2019;1;3;6;16.3994998833333
station206;Temperature;2019;1;3;6;15.0966666666667
station229;Temperature;2019;1;3;6;16.14300035
station322;Temperature;2019;1;3;6;14.7386666666667
station318;Temperature;2019;1;3;6;14.8798333333333
station105;Temperature;2019;1;3;6;-121.208333333333
station82;Temperature;2019;1;3;7;16.1083333333333
station254;Temperature;2019;1;3;7;15.6143333333333
station319;Temperature;2019;1;3;7;17.0586667666667
station271;Temperature;2019;1;3;7;18.8001668
station349;Temperature;2019;1;3;7;-999
station83;Temperature;2019;1;3;7;16.56
station68;Temperature;2019;1;3;7;18.0116666666667
station197;Temperature;2019;1;3;7;16.1673333166667
station59;Temperature;2019;1;3;7;15.9983333333333
station313;Temperature;2019;1;3;7;12.9235
station252;Temperature;2019;1;3;7;16.72666655
station206;Temperature;2019;1;3;7;16.385
station229;Temperature;2019;1;3;7;16.7183333666667
station322;Temperature;2019;1;3;7;15.7160000166667
station318;Temperature;2019;1;3;7;15.39449995
station105;Temperature;2019;1;3;7;-154.58
station82;Temperature;2019;1;3;8;20.3333333333333
station254;Temperature;2019;1;3;8;19.3216668166667
station319;Temperature;2019;1;3;8;20.89733315
station271;Temperature;2019;1;3;8;21.4384998666667
station349;Temperature;2019;1;3;8;-999
station83;Temperature;2019;1;3;8;18.5183333333333
station68;Temperature;2019;1;3;8;20.2733333333333
station197;Temperature;2019;1;3;8;20.8114999833333
